JOB     CHECK.MEA
SC      CZ1002,1.350,
NEZ     1241.240,1357.299,14.265
SC      CZ1040,1.350,
NEZ     1287.265,1315.290,14.274
SC      CZ1039,1.350,
NEZ     1301.155,1315.087,14.271
SC      CZ1051,1.350,
NEZ     1292.570,1321.632,14.394
SD      CZ1051,1.350,
HVD     840437,322915,17.448
SC      CZ1050,1.350,
NEZ     1292.665,1329.692,14.391
SD      CZ1050,1.350,
HVD     756214,322459,11.895
SC      CZ1035,1.350,
NEZ     1336.846,1317.260,14.320
SC      C305C,1.350,
NEZ     1411.457,1332.854,13.132
SD      C305C,1.350,
HVD     1290685,326226,108.539
