JOB     22.MEA
NEZ     1210.749,1474.231,12.919
SD      A22133,1.350,
HVD     1265149,327295,12.568
SC      A22134,1.350,
NEZ     1208.652,1472.733,12.904
SD      A22134,1.350,
HVD     1230935,328097,10.867
SC      A22135,1.350,
NEZ     1207.615,1470.949,12.854
SD      A22135,1.350,
HVD     1191534,329157,10.630
SC      A22136,1.350,
NEZ     1207.181,1468.899,12.810
SD      A22136,1.350,
HVD     1155155,329598,11.422
SC      A22137,1.350,
NEZ     1198.106,1460.277,12.571
SD      A22137,1.350,
HVD     969179,331146,15.838
SC      A22138,1.350,
NEZ     1197.459,1405.340,11.465
SD      A22138,1.350,
HVD     969487,328824,70.789
SC      A22139,1.350,
NEZ     1201.947,1405.324,11.559
SD      A22139,1.350,
HVD     982556,328544,70.890
SC      A22140,1.350,
NEZ     1206.447,1405.251,11.481
SD      A22140,1.350,
HVD     995547,328740,71.336
SC      A22141,1.350,
NEZ     1207.259,1421.555,11.970
SC      A22142,1.350,
NEZ     1207.429,1447.240,12.495
SC      A22143,1.350,
NEZ     1207.600,1451.770,12.589
SC      A22144,1.350,
NEZ     1207.807,1458.106,12.749
SC      A22145,1.350,
NEZ     1207.835,1470.437,12.972
SC      A22146,1.350,
NEZ     1208.241,1469.673,12.919
SC      A22147,1.350,
NEZ     1210.257,1473.967,12.949
SD      A22147,1.350,
HVD     1259452,326909,12.125
SC      A22148,1.350,
NEZ     1210.032,1454.155,12.654
SD      A22148,1.350,
HVD     1073083,327860,24.881
SC      A22149,1.350,
NEZ     1209.949,1446.946,12.479
SD      A22149,1.350,
HVD     1050261,328210,31.397
SC      A22150,1.350,
NEZ     1207.340,1411.249,11.751
SD      A22150,1.350,
HVD     1000496,328312,65.493
SC      A22151,1.350,
NEZ     1206.259,1422.212,11.843
SD      A22151,1.350,
HVD     1002162,328834,54.488
SC      A22152,1.350,
NEZ     1201.123,1421.029,11.858
SD      A22152,1.350,
HVD     982483,328720,55.161
SC      A22153,1.350,
NEZ     1199.372,1425.989,11.949
SD      A22153,1.350,
HVD     976321,328817,50.140
SC      A22154,1.350,
NEZ     1197.990,1422.198,11.828
SD      A22154,1.350,
HVD     970731,328943,53.922
SC      A22155,1.350,
NEZ     1198.310,1452.035,12.390
SD      A22155,1.350,
HVD     971887,330258,24.080
SC      A22156,1.350,
NEZ     1199.615,1456.051,12.532
SD      A22156,1.350,
HVD     985278,330032,20.103
SC      A22157,1.350,
NEZ     1201.442,1451.066,12.466
SD      A22157,1.350,
HVD     997566,329344,25.240
SC      A22158,1.350,
NEZ     1206.613,1452.499,12.444
SD      A22158,1.350,
HVD     1041664,329576,25.028
SC      A22159,1.350,
NEZ     1208.403,1462.553,12.840
SD      A22159,1.350,
HVD     1103925,327416,16.891
SC      A22160,1.350,
NEZ     1207.816,1465.176,12.883
SD      A22160,1.350,
HVD     1119534,327382,14.477
SC      A22161,1.350,
NEZ     1213.299,1469.848,13.046
SD      A22161,1.350,
HVD     1214388,324934,16.230
SC      A22162,1.350,
NEZ     1198.323,1476.104,13.404
SC      A22163,1.350,
NEZ     1238.489,1456.711,13.839
SD      A22163,1.350,
HVD     1203224,320676,44.608
SC      A22164,1.350,
NEZ     1233.426,1448.877,13.694
SD      A22164,1.350,
HVD     1159932,321334,44.428
SC      A22165,1.350,
NEZ     1238.393,1448.779,14.266
SD      A22165,1.350,
HVD     1172554,319129,48.514
SC      A22166,1.350,
NEZ     1232.351,1446.684,13.624
SD      A22166,1.350,
HVD     1148955,321692,44.985
SC      A22167,1.350,
NEZ     1232.295,1440.955,13.633
SD      A22167,1.350,
HVD     1130493,321835,48.886
SC      A22168,2.150,
NEZ     1238.303,1440.889,13.618
SD      A22168,2.150,
HVD     1147056,318978,53.294
SC      A22169,1.350,
NEZ     1237.901,1410.944,12.558
SD      A22169,1.350,
HVD     1084593,325522,76.240
SC      A22170,1.350,
NEZ     1232.933,1411.019,12.569
SD      A22170,1.350,
HVD     1072814,325541,73.718
SC      A22171,1.350,
NEZ     1232.876,1402.965,14.256
SD      A22171,1.350,
HVD     1063006,321104,80.898
SC      A22172,1.350,
NEZ     1242.581,1470.665,14.292
SD      A22172,1.350,
HVD     1270790,318583,44.607
SC      A22173,2.150,
NEZ     1256.456,1470.497,14.281
SC      A22174,1.950,
NEZ     1289.052,1470.119,14.270
SD      A22174,1.950,
HVD     1282417,320033,90.943
SC      A201C,1.350,
NEZ     1276.059,1480.866,13.393
SD      A22175,1.350,
HVD     12625,323278,77.882
SC      A102C,1.350,
NEZ     1196.085,1400.418,11.545
SD      A102C,1.350,
HVD     965907,328292,75.735
