JOB     2.MEA
SC      A2074,1.350,
NEZ     1230.772,1260.986,10.209
SD      A2074,1.350,
HVD     237991,319682,61.477
SC      A2075,1.400,
NEZ     1230.833,1269.346,10.243
SD      A2075,1.400,
HVD     247920,319917,69.226
SC      A2076,1.400,
NEZ     1236.917,1302.032,10.415
SD      A2076,1.400,
HVD     260274,320884,102.088
SC      A2077,1.700,
NEZ     1236.818,1307.324,10.389
SD      A2077,1.700,
HVD     263554,320503,107.117
SC      A2078,1.400,
NEZ     1224.515,1246.917,10.135
SD      A2078,1.400,
HVD     238094,318346,46.083
SC      A2079,1.400,
NEZ     1207.631,1247.138,9.316
SD      A2079,1.400,
HVD     315477,321841,42.388
SC      A2080,1.400,
NEZ     1209.315,1248.449,9.608
SD      A2080,1.400,
HVD     307805,320535,43.801
SC      A2081,1.400,
NEZ     1260.489,1245.425,10.226
SD      A2081,1.400,
HVD     131956,319900,68.084
SC      A2082,1.400,
NEZ     1255.716,1248.995,10.692
SD      A2082,1.400,
HVD     149668,318368,66.642
SC      A2083,1.400,
NEZ     1250.608,1248.762,9.701
SC      A2084,1.400,
NEZ     1244.762,1241.616,10.171
SD      A2084,1.400,
HVD     156404,318999,53.570
SC      A2085,1.400,
NEZ     1239.498,1226.448,9.465
SD      A2085,1.400,
HVD     118048,320944,39.996
SC      A2086,1.400,
NEZ     1244.784,1226.898,9.521
SD      A2086,1.400,
HVD     106600,321007,44.753
SC      A2087,1.400,
NEZ     1249.136,1220.845,9.333
SD      A2087,1.400,
HVD     73315,321938,46.143
SC      A2088,1.400,
NEZ     1247.231,1219.735,9.325
SD      A2088,1.400,
HVD     71541,321877,43.973
SC      A2089,1.400,
NEZ     1257.389,1229.699,9.708
SD      A2089,1.400,
HVD     92913,320985,57.223
SC      A2090,1.400,
NEZ     1249.133,1220.853,9.331
SD      A2090,1.400,
HVD     73350,321949,46.143
SC      A2091,1.400,
NEZ     1244.936,1217.209,9.191
SD      A2091,1.400,
HVD     63510,322396,40.985
SC      A2092,1.400,
NEZ     1241.618,1218.370,9.120
SD      A2092,1.400,
HVD     74910,322665,38.233
SC      A2093,1.400,
NEZ     1239.857,1215.301,9.193
SD      A2093,1.400,
HVD     61891,322138,35.568
SC      A2094,1.400,
NEZ     1241.681,1210.117,9.146
SD      A2094,1.400,
HVD     30478,322438,36.198
SC      A2095,1.400,
NEZ     1221.730,1210.355,9.011
SD      A2095,1.400,
HVD     69658,322295,16.801
SC      A2096,1.400,
NEZ     1219.816,1215.518,9.043
SD      A2096,1.400,
HVD     135328,321998,17.590
SC      A2097,1.400,
NEZ     1224.908,1217.455,9.045
SD      A2097,1.400,
HVD     121139,322435,22.859
SC      A2098,1.400,
NEZ     1221.766,1218.631,8.985
SD      A2098,1.400,
HVD     147834,322896,21.072
SC      A2099,1.400,
NEZ     1216.507,1220.177,9.143
SD      A2099,1.400,
HVD     199322,321012,18.703
SC      A2100,1.400,
NEZ     1213.619,1220.403,9.100
SD      A2100,1.400,
HVD     229068,321296,17.428
SC      A2101,1.400,
NEZ     1207.547,1233.498,9.226
SD      A2101,1.400,
HVD     312034,321459,28.759
SC      A2102,1.400,
NEZ     1205.214,1231.997,9.207
SD      A2102,1.400,
HVD     329043,321459,27.218
SC      A2103,1.400,
NEZ     1207.587,1223.019,8.952
SD      A2103,1.400,
HVD     304731,323104,18.310
SC      A2104,1.400,
NEZ     1204.195,1242.717,9.144
SD      A2104,1.400,
HVD     333154,322522,37.967
SC      A2105,1.400,
NEZ     1197.255,1245.977,9.190
SD      A2105,1.400,
HVD     366578,322440,42.083
SC      A2106,1.400,
NEZ     1195.924,1242.423,9.113
SD      A2106,1.400,
HVD     377342,322725,38.929
SC      A2107,1.400,
NEZ     1199.108,1241.022,9.176
SD      A2107,1.400,
HVD     362110,322302,36.862
SC      A2108,1.400,
NEZ     1195.641,1217.220,8.887
SD      A2108,1.400,
